"","Forest ( ha )","Forest ( ha )","Forest ( ha )","Forest ( ha )"
"","1990","2000","2010","2020"
"Ireland","461640.00","630360.00","720380.00","782020.00"
"Isle of Man (Desk study)","3460.00","3460.00","3460.00","3460.00"
"Israel","132000.00","153000.00","154000.00","140000.00"
"Italy","7589750.00","8369250.00","9028040.00","9566130.00"
"Jamaica","521280.00","521000.00","558450.00","596890.00"
"Japan","24950000.00","24876000.00","24966000.00","24935000.00"
"Jersey (Desk study)","600.00","600.00","600.00","600.00"
"Jordan","97500.00","97500.00","97500.00","97500.00"
"Kazakhstan","3162240.00","3156930.00","3082180.00","3454680.00"
"Kenya","3858540.00","3961190.00","3616340.00","3611090.00"
"Kiribati (Desk study)","1180.00","1180.00","1180.00","1180.00"
"Kuwait (Desk study)","3450.00","4850.00","6250.00","6250.00"
"Kyrgyzstan","1136420.00","1180900.00","1229680.00","1315380.00"
"Lao People's Democratic Republic","17843000.00","17425000.00","16940500.00","16595500.00"
"Latvia","3173000.00","3241000.00","3372120.00","3410790.00"
"Lebanon","139700.00","138180.00","137350.00","143330.00"
"Lesotho","34520.00","34520.00","34520.00","34520.00"
"Liberia","8525240.00","8222640.00","7920040.00","7617440.00"
"Libya (Desk study)","217000.00","217000.00","217000.00","217000.00"
"Liechtenstein","6500.00","6700.00","6700.00","6700.00"
"Lithuania","1945000.00","2020000.00","2170000.00","2201000.00"
"Luxembourg","85800.00","86700.00","88700.00","88700.00"
"Madagascar","13693450.00","13030670.00","12561980.00","12429810.00"
"Malawi","3501700.00","3081700.00","2661700.00","2241700.00"
"Malaysia","20618500.00","19691350.00","18947650.00","19114040.00"
"Maldives","820.00","820.00","820.00","820.00"
"Mali","13296000.00","13296000.00","13296000.00","13296000.00"
"Malta","350.00","350.00","350.00","460.00"
"Marshall Islands","9400.00","9400.00","9400.00","9400.00"
"Martinique","47840.00","48740.00","50290.00","52290.00"
"Mauritania","476040.00","421640.00","367240.00","312800.00"
"Mauritius","41070.00","41930.00","38390.00","38770.00"
"Mayotte","19100.00","15670.00","14410.00","13890.00"
"Mexico","70591650.00","68381350.00","66943310.00","65692080.00"
"Micronesia (Federated States of)","63580.00","63860.00","64130.00","64420.00"
"Monaco (Desk study)","0.00","0.00","0.00","0.00"
"Mongolia","14352000.00","14263900.00","14183900.00","14172780.00"
"Montenegro","626000.00","626000.00","827000.00","827000.00"
"Montserrat (Desk study)","3500.00","2500.00","2500.00","2500.00"
"Morocco","5485290.00","5506540.00","5674570.00","5742490.00"
"Mozambique","43378000.00","41188000.00","38972140.00","36743760.00"
"Myanmar","39218480.00","34868110.00","31441000.00","28543890.00"
"Namibia","8769170.00","8059080.00","7348990.00","6638900.00"
"Nauru (Desk study)","0.00","0.00","0.00","0.00"
